Property Name	Property Location	Price	Bedroom	Bathroom	Car Porch	Property Type	Built Up Area	Status
Taman Melawati, Ampang Greeneries Landscape, Ampang	Ampang, Kuala Lumpur	RM 979,000(RM 387.72 per sq. ft.)	4+1	4	2	2-sty Terrace/Link House | Intermediate 	 Built-up : 2,525 sq. ft. 	 Unfurnished
The Fiddlewoodz @ KL Metropolis, Solaris Dutamas, Dutamas	Dutamas, Kuala Lumpur	RM 1,383,100(RM 937.06 per sq. ft.)	4	3	3	Serviced Residence | Corner lot 	 Built-up : 1,476 sq. ft. 	 Partly furnished
Anggun Residences, KLCC	KLCC, Kuala Lumpur	RM 1,200,000(RM 953.14 per sq. ft.)	3	3	2	Condominium | Corner lot 	 Built-up : 1,259 sq. ft. 	 Partly furnished
La Grande Kiara, Bukit Kiara, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 950,000(RM 480.04 per sq. ft.)	3+1	3	2	Condominium | End lot 	 Built-up : 1,979 sq. ft. 	 Partly furnished
St Regis, KL Sentral	KL Sentral, Kuala Lumpur	RM 8,100,000(RM 1904.54 per sq. ft.)	3+1	4	2	Serviced Residence 	 Built-up : 4,253 sq. ft. 	 Partly furnished
The Fiddlewoodz @ KL Metropolis, Solaris Dutamas, Dutamas	Dutamas, Kuala Lumpur	RM 1,229,400(RM 951.55 per sq. ft.)	3	3	2	Serviced Residence 	 Built-up : 1,292 sq. ft. 	 Partly furnished
The Troika, KLCC	KLCC, Kuala Lumpur	RM 2,000,000(RM 833.33 per sq. ft.)	3+1	5	2	Condominium | Corner lot 	 Built-up : 2,400 sq. ft. 	 Partly furnished
Covillea, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 745,000(RM 576.18 per sq. ft.)	3+1	3	2	Condominium 	 Built-up : 1,293 sq. ft.	Unfurnished
V Residence 2 @ Sunway Velocity, Cheras	Cheras, Kuala Lumpur	RM 1,200,000(RM 1411.76 per sq. ft.)	2	2	1	Serviced Residence 	 Built-up : 850 sq. ft.	Unfurnished
Fadason Villa, Kepong, Kepong	Kepong, Kuala Lumpur	RM 1,260,000(RM 504 per sq. ft.)	5	5	2	2.5-sty Terrace/Link House | Intermediate 	 Built-up : 2,500 sq. ft. 	 Partly furnished
Park Place, Desa Parkcity, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,300,000(RM 949.6 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,369 sq. ft.	Unfurnished
The Park Sky Residence, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 900,000(RM 944.39 per sq. ft.)	2	2	1	Serviced Residence 	 Built-up : 953 sq. ft. 	 Partly furnished
The Park Sky Residence, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 950,000(RM 1094.47 per sq. ft.)	2	2	1	Serviced Residence 	 Built-up : 868 sq. ft. 	 Partly furnished
Vogue Suites One, KL Eco City	KL Eco City, Kuala Lumpur	RM 1,300,000(RM 1337.45 per sq. ft.)	2	2	1	Condominium 	 Built-up : 972 sq. ft. 	 Fully furnished
Vogue Suites One, KL Eco City	KL Eco City, Kuala Lumpur	RM 1,188,000(RM 1673.24 per sq. ft.)	1	1	1	Condominium | Intermediate 	 Built-up : 710 sq. ft. 	 Fully furnished
Fadason Villa, Kepong	Kepong, Kuala Lumpur	RM 1,250,000(RM 44.64 per sq. ft.)	6	4	None	2.5-sty Terrace/Link House | Intermediate 	 Built-up : 28,000 sq. ft. 	 Partly furnished
The Harmony, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 468,000(RM 453.05 per sq. ft.)	3+1	2	2	Condominium 	 Built-up : 1,033 sq. ft. 	 Partly furnished
The Fennel, Sentul Selatan, Sentul	Sentul, Kuala Lumpur	RM 1,100,000(RM 657.89 per sq. ft.)	3	4	4	Condominium 	 Built-up : 1,672 sq. ft. 	 Fully furnished
Arata of Tijani, Bukit Tunku (Kenny Hills)	Bukit Tunku (Kenny Hills), Kuala Lumpur	RM 1,850,000(RM 781.25 per sq. ft.)	3+1	5	4	Condominium | Corner lot 	 Built-up : 2,368 sq. ft. 	 Partly furnished
Pavilion Suites, Bukit Bintang	Bukit Bintang, Kuala Lumpur	RM 2,200,000(RM 2945.11 per sq. ft.)	1	1	1	Condominium | Corner lot 	 Built-up : 747 sq. ft. 	 Fully furnished
8 Conlay, KLCC	KLCC, Kuala Lumpur	RM 2,100,000(RM 3000 per sq. ft.)	1+1	2	1	Serviced Residence | Intermediate 	 Built-up : 700 sq. ft. 	 Fully furnished
Service Suites @ Pavilion Embassy, Kampung Datuk Keramat, Keramat	Keramat, Kuala Lumpur	RM 1,300,000(RM 1183.97 per sq. ft.)	2+1	2	2	Serviced Residence 	 Built-up : 1,098 sq. ft. 	 Fully furnished
Desa Sri Hartamas, Sri Hartamas	Sri Hartamas, Kuala Lumpur	RM 1,750,000(RM 795.45 per sq. ft.)	3+1	3	2	2-sty Terrace/Link House | Intermediate 	 Built-up : 2,200 sq. ft. 	 Partly furnished
The Link 2 Residences, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 730,000(RM 751.8 per sq. ft.)	3	2	2	Serviced Residence | Corner lot 	 Built-up : 971 sq. ft. 	 Fully furnished
Twy Duplex Condos, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 760,000(RM 925.7 per sq. ft.)	2	1	1	Condominium | Intermediate 	 Built-up : 821 sq. ft. 	 Fully furnished
Bandar Damai Perdana, Cheras	Cheras, Kuala Lumpur	RM 950,000(RM 380 per sq. ft.)	4+1	4	3	2-sty Terrace/Link House | End lot 	 Built-up : 2,500 sq. ft. 	 Unfurnished
Suria @ North Kiara, Taman Sri Bintang, Segambut	Segambut, Kuala Lumpur	RM 430,000(RM 603.09 per sq. ft.)	2	2	1	Serviced Residence | Intermediate 	 Built-up : 713 sq. ft. 	 Fully furnished
