Property Name	Property Location	Price	Bedroom	Bathroom	Car Porch	Property Type	Built Up Area	Status
Changkat Duta Kiara, Kiara Peak, Puncak Kiara, KL, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 6,250,000(RM 1225.49 per sq. ft.)	5+2	6	4	Bungalow 	 Built-up : 5,100 sq. ft. 	 Partly furnished
Nadia, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,450,000(RM 875 per sq. ft.)	4+1	4	3	3-sty Terrace/Link House 	 Built-up : 2,800 sq. ft.	Unfurnished
Nadia Parkfront, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,100,000(RM 695.32 per sq. ft.)	3+1	2	2	Condominium 	 Built-up : 1,582 sq. ft.	Unfurnished
Damansara Heights	Damansara Heights, Kuala Lumpur	RM 9,500,000(RM 783.83 per sq. ft.)	7+1	10	4	Bungalow 	 Built-up : 12,120 sq. ft. 	 Partly furnished
The Harmony, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 460,000(RM 460 per sq. ft.)	3+1	2	2	Condominium | Intermediate 	 Built-up : 1,000 sq. ft. 	 Partly furnished
Villa Orkid, Bukit Prima Pelangi, Segambut	Segambut, Kuala Lumpur	RM 680,000(RM 359.22 per sq. ft.)	3+1	3	2	Condominium 	 Built-up : 1,893 sq. ft. 	 Partly furnished
Residensi PV18, Setapak	Setapak, Kuala Lumpur	RM 500,000(RM 410.17 per sq. ft.)	3	3	2	Condominium | Corner lot 	 Built-up : 1,219 sq. ft. 	 Fully furnished
The Capers @ Sentul East, Sentul East, Sentul	Sentul, Kuala Lumpur	RM 620,000(RM 620.62 per sq. ft.)	2+1	3	1	Condominium 	 Built-up : 999 sq. ft. 	 Partly furnished
First Residence (Residensi Unggul), Kepong Baru, Kepong	Kepong, Kuala Lumpur	RM 430,000(RM 400.37 per sq. ft.)	3	2	2	Condominium | End lot 	 Built-up : 1,074 sq. ft. 	 Partly furnished
Mont Kiara, Sri Hartamas	Sri Hartamas, Kuala Lumpur	RM 4,500,000(RM 789.47 per sq. ft.)	6	6	None	Semi-detached House 	 Built-up : 5,700 sq. ft. 	 Fully furnished
The Capers @ Sentul East, Sentul East, Sentul	Sentul, Kuala Lumpur	RM 750,000(RM 543.08 per sq. ft.)	3+1	4	3	Condominium | Corner lot 	 Built-up : 1,381 sq. ft. 	 Fully furnished
kuala lumpur, Bukit Tunku (Kenny Hills)	Bukit Tunku (Kenny Hills), Kuala Lumpur	RM 9,000,000(RM 884.96 per sq. ft.)	5+1	6	None	Bungalow 	 Built-up : 10,170 sq. ft. 	 Partly furnished
TAMAN DESA JAYA, Kepong	Kepong, Kuala Lumpur	RM 470,000(RM 328.67 per sq. ft.)	3	2	None	1-sty Terrace/Link House 	 Built-up : 1,430 sq. ft.	Unfurnished
East Parc @ Manjalara, Bandar Menjalara	Bandar Menjalara, Kuala Lumpur	RM 730,000(RM 629.31 per sq. ft.)	3	2	2	Serviced Residence | Corner lot 	 Built-up : 1,160 sq. ft. 	 Partly furnished
Mansions, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 5,100,000(RM 1137.63 per sq. ft.)	4+1	5	5	2.5-sty Terrace/Link House 	 Built-up : 4,483 sq. ft. 	 Partly furnished
Altris Residences @ The Quartz WM, Wangsa Maju	Wangsa Maju, Kuala Lumpur	RM 365,000(RM 565.02 per sq. ft.)	2	2	1	Serviced Residence | Duplex 	 Built-up : 646 sq. ft.	Unfurnished
3 Residen @ Melawati, Taman Desa Melawati, Setapak	Setapak, Kuala Lumpur	RM 650,000(RM 538.97 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,206 sq. ft. 	 Partly furnished
Safa Terraces, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 3,600,000(RM 1045.3 per sq. ft.)	4	3	3	2-sty Terrace/Link House | Corner lot 	 Built-up : 3,444 sq. ft. 	 Partly furnished
Taman Taynton Harmoni, Tiara Hill, Cheras, Cheras	Cheras, Kuala Lumpur	RM 2,388,000(RM 421.16 per sq. ft.)	7+1	8	4	Bungalow | Intermediate 	 Built-up : 5,670 sq. ft. 	 Partly furnished
The Herz, Kepong	Kepong, Kuala Lumpur	RM 510,000(RM 474.86 per sq. ft.)	3	3	2	Condominium 	 Built-up : 1,074 sq. ft. 	 Unfurnished
Kuchai Entrepreneurs Park, Kuchai Lama	Kuchai Lama, Kuala Lumpur	RM 220,000(RM 252.58 per sq. ft.)	3	2	None	Flat | Intermediate 	 Built-up : 871 sq. ft. 	 Partly furnished
Adora Courtyard Terraces, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,400,000(RM 965.02 per sq. ft.)	4	3	None	3-sty Terrace/Link House | Corner lot 	 Built-up : 2,487 sq. ft. 	 Partly furnished
Kiaramas Sutera, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 1,980,000(RM 659.56 per sq. ft.)	3+1	4	4	Condominium 	 Built-up : 3,002 sq. ft. 	 Fully furnished
The Fiddlewoodz @ KL Metropolis, Solaris Dutamas, Dutamas	Dutamas, Kuala Lumpur	RM 854,800(RM 961.53 per sq. ft.)	2	2	2	Serviced Residence 	 Built-up : 889 sq. ft. 	 Partly furnished
Tria Residences, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 808,794(RM 532.8 per sq. ft.)	3+1	3	3	Condominium | Corner lot 	 Built-up : 1,518 sq. ft. 	 Fully furnished
The Oval, KLCC	KLCC, Kuala Lumpur	RM 3,500,000(RM 898.13 per sq. ft.)	3+1	5	2	Serviced Residence | Corner lot 	 Built-up : 3,897 sq. ft. 	 Fully furnished
Safa Terraces, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,300,000(RM 958.33 per sq. ft.)	4	4	2	2-sty Terrace/Link House 	 Built-up : 2,400 sq. ft. 	 Partly furnished
Verdana, Dutamas	Dutamas, Kuala Lumpur	RM 1,150,000(RM 639.24 per sq. ft.)	3+1	4	2	Condominium 	 Built-up : 1,799 sq. ft. 	 Fully furnished
Seni Mont Kiara, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 2,100,000(RM 871.01 per sq. ft.)	4	3	2	Condominium 	 Built-up : 2,411 sq. ft.	Unfurnished
Kenwingston Avenue, Sungai Besi	Sungai Besi, Kuala Lumpur	RM 418,000(RM 643.08 per sq. ft.)	2	2	1	Serviced Residence 	 Built-up : 650 sq. ft. 	 Unfurnished
The Estate, Kampung Kerinchi (Bangsar South)	Kampung Kerinchi (Bangsar South), Kuala Lumpur	RM 2,300,000(RM 733.65 per sq. ft.)	5+1	5	4	Condominium | Corner lot 	 Built-up : 3,135 sq. ft. 	 Partly furnished
One Central Park, Desa Parkcity, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,100,000(RM 1211.77 per sq. ft.)	3+1	4	3	Condominium 	 Built-up : 1,733 sq. ft. 	 Partly furnished
One KL, KLCC	KLCC, Kuala Lumpur	RM 3,500,000(RM 1065.45 per sq. ft.)	3+1	5	2	Condominium | Corner lot 	 Built-up : 3,285 sq. ft. 	 Fully furnished
Tria Residences, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 725,000(RM 724.28 per sq. ft.)	3	2	2	Condominium | Corner lot 	 Built-up : 1,001 sq. ft. 	 Partly furnished
Verve Suites, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 830,000(RM 890.56 per sq. ft.)	2	2	1	Serviced Residence | Corner lot 	 Built-up : 932 sq. ft. 	 Fully furnished
OUG Parklane, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 310,000(RM 326.32 per sq. ft.)	3	2	1	Serviced Residence 	 Built-up : 950 sq. ft.	Unfurnished
Kiara Hills, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 8,500,000(RM 1000 per sq. ft.)	6+1	6	8	Bungalow 	 Built-up : 8,500 sq. ft. 	 Unfurnished
Pavilion, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 1,217,394(RM 1734.18 per sq. ft.)	1	1	1	Serviced Residence 	 Built-up : 702 sq. ft. 	 Fully furnished
Kiaramas Ayuria, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 1,200,000(RM 747.66 per sq. ft.)	2+1	4	2	Condominium 	 Built-up : 1,605 sq. ft. 	 Fully furnished
Seputeh Garden, Tmn Seputeh, nr2 Bangsar, Seputeh	Seputeh, Kuala Lumpur	RM 6,500,000(RM 1031.75 per sq. ft.)	5+1	6	3	Bungalow | Corner lot 	 Built-up : 6,300 sq. ft. 	 Partly furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 900,000(RM 701.48 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,283 sq. ft. 	 Partly furnished
Midfields 2, Taman Sungai Besi, Sungai Besi	Sungai Besi, Kuala Lumpur	RM 470,000(RM 427.66 per sq. ft.)	3	2	1	Condominium 	 Built-up : 1,099 sq. ft.	Unfurnished
M City, Ampang	Ampang, Kuala Lumpur	RM 559,000(RM 715.75 per sq. ft.)	1	1	1	Serviced Residence 	 Built-up : 781 sq. ft. 	 Fully furnished
The Estate, Kampung Kerinchi (Bangsar South)	Kampung Kerinchi (Bangsar South), Kuala Lumpur	RM 1,780,000(RM 759.06 per sq. ft.)	5	5	4	Condominium | Corner lot 	 Built-up : 2,345 sq. ft. 	 Partly furnished
The Estate, Kampung Kerinchi (Bangsar South)	Kampung Kerinchi (Bangsar South), Kuala Lumpur	RM 1,950,000(RM 755.81 per sq. ft.)	4+1	5	4	Condominium | Corner lot 	 Built-up : 2,580 sq. ft. 	 Partly furnished
Kuchai Sentral, Kuchai Entrepreneurs Park, Kuchai Lama	Kuchai Lama, Kuala Lumpur	RM 380,000(RM 579.27 per sq. ft.)	2	2	1	Condominium 	 Built-up : 656 sq. ft.	Unfurnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 880,000(RM 879.12 per sq. ft.)	2	2	2	Condominium 	 Built-up : 1,001 sq. ft.	Unfurnished
Taman Ehsan Kepong, Kepong	Kepong, Kuala Lumpur	RM 680,000(RM 363.64 per sq. ft.)	3	2	2	1-sty Terrace/Link House | Intermediate 	 Built-up : 1,870 sq. ft. 	 Partly furnished
Bukit Damansara (Guarded), KL, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 7,000,000(RM 823.53 per sq. ft.)	6+1	7	4	Bungalow 	 Built-up : 8,500 sq. ft.	Unfurnished
Bukit Damansara, KL, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 4,180,000(RM 696.67 per sq. ft.)	6+1	6	6	Bungalow 	 Built-up : 6,000 sq. ft.	Unfurnished
Midfields, Taman Sungai Besi, Sungai Besi	Sungai Besi, Kuala Lumpur	RM 420,000(RM 391.06 per sq. ft.)	3	2	2	Condominium | Intermediate 	 Built-up : 1,074 sq. ft. 	 Partly furnished
Bukit Damansara, Bruas, kL, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 4,800,000(RM 872.73 per sq. ft.)	5+1	7	None	Bungalow 	 Built-up : 5,500 sq. ft. 	 Partly furnished
The Lumayan Apartment, Bandar Sri Permaisuri, Cheras	Cheras, Kuala Lumpur	RM 315,000(RM 370.59 per sq. ft.)	3	2	1	Apartment 	 Built-up : 850 sq. ft. 	 Partly furnished
The Northshore Gardens, Desa Parkcity, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,800,000(RM 995.58 per sq. ft.)	2+1	3	2	Condominium | Corner lot 	 Built-up : 1,808 sq. ft. 	 Partly furnished
Taman Ehsan, Kepong	Kepong, Kuala Lumpur	RM 680,000(RM 365.59 per sq. ft.)	3	2	2	1-sty Terrace/Link House | Intermediate 	 Built-up : 1,860 sq. ft. 	 Partly furnished
Laman Residence , Areca , Laman Rimbunan, Jalan Ipoh	Jalan Ipoh, Kuala Lumpur	RM 1,550,000(RM 469.7 per sq. ft.)	4+1	4	None	Semi-detached House | Intermediate 	 Built-up : 3,300 sq. ft. 	 Partly furnished
One Menerung, Bukit Bandaraya, Bangsar	Bangsar, Kuala Lumpur	RM 7,570,450(RM 1450 per sq. ft.)	4+1	4	None	Condominium 	 Built-up : 5,221 sq. ft. 	 Partly furnished
The Fiddlewoodz @ KL Metropolis, Solaris Dutamas, Dutamas	Dutamas, Kuala Lumpur	RM 854,800(RM 961.53 per sq. ft.)	2	2	2	Serviced Residence | Corner lot 	 Built-up : 889 sq. ft. 	 Partly furnished
Hampton Height Damansara, Country Heights Damansara	Country Heights Damansara, Kuala Lumpur	RM 630,000(RM 688.52 per sq. ft.)	2+1	2	1	Serviced Residence 	 Built-up : 915 sq. ft.	Unfurnished
The Fiddlewoodz @ KL Metropolis, Solaris Dutamas, Dutamas	Dutamas, Kuala Lumpur	RM 1,229,400(RM 951.55 per sq. ft.)	3	3	2	Serviced Residence | Corner lot 	 Built-up : 1,292 sq. ft. 	 Partly furnished
The Fiddlewoodz @ KL Metropolis, Solaris Dutamas, Dutamas	Dutamas, Kuala Lumpur	RM 1,383,100(RM 941.52 per sq. ft.)	4	3	4	Serviced Residence | Corner lot 	 Built-up : 1,469 sq. ft. 	 Partly furnished
Bukit Damansara, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 7,200,000(RM 1788.38 per sq. ft.)	6+1	5	4	Bungalow | Intermediate 	 Built-up : 4,026 sq. ft.	Unfurnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,100,000(RM 857.37 per sq. ft.)	3	2	2	Condominium | Intermediate 	 Built-up : 1,283 sq. ft.	Unfurnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 850,000(RM 849.15 per sq. ft.)	2	2	2	Condominium | Intermediate 	 Built-up : 1,001 sq. ft.	Unfurnished
Residensi Harmoni 2, Taman Bukit Prima Pelangi, Segambut	Segambut, Kuala Lumpur	RM 722,000(RM 513.15 per sq. ft.)	3+1	3	2	Condominium 	 Built-up : 1,407 sq. ft.	Unfurnished
REED LAKE FIELDS / LAKEFIELDS SG BESI KL, Sungai Besi	Sungai Besi, Kuala Lumpur	RM 1,548,000(RM 481.34 per sq. ft.)	4+1	6	3	3-sty Terrace/Link House | Intermediate 	 Built-up : 3,216 sq. ft. 	 Partly furnished
11 Mont Kiara @ MK11, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 4,200,000(RM 913.04 per sq. ft.)	5+1	6	3	Condominium 	 Built-up : 4,600 sq. ft. 	 Partly furnished
The Breezeway, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,500,000(RM 1114.41 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,346 sq. ft. 	 Fully furnished
OUG Parklane, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 324,999(RM 342.1 per sq. ft.)	3	2	1	Serviced Residence | Intermediate 	 Built-up : 950 sq. ft. 	 Unfurnished
One Menerung, Bukit Bandaraya, Bangsar	Bangsar, Kuala Lumpur	RM 13,395,600(RM 1626.67 per sq. ft.)	5+1	7	5	Condominium 	 Built-up : 8,235 sq. ft. 	 Partly furnished
Tijani 2 North, Bukit Tunku (Kenny Hills)	Bukit Tunku (Kenny Hills), Kuala Lumpur	RM 4,500,000(RM 632.91 per sq. ft.)	4+1	5	3	Condominium | Penthouse 	 Built-up : 7,110 sq. ft. 	 Partly furnished
The Breezeway, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,300,000(RM 1006.19 per sq. ft.)	2	2	2	Condominium 	 Built-up : 1,292 sq. ft. 	 Partly furnished
Sixceylon, Bukit Bintang	Bukit Bintang, Kuala Lumpur	RM 999,000(RM 832.5 per sq. ft.)	2	2	1	Condominium 	 Built-up : 1,200 sq. ft. 	 Fully furnished
Vogue Suites One, KL Eco City	KL Eco City, Kuala Lumpur	RM 2,680,000(RM 1579.26 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,697 sq. ft.	Unfurnished
TTDI, Taman Tun Dr Ismail, Athinahapan, Taman Tun Dr Ismail	Taman Tun Dr Ismail, Kuala Lumpur	RM 4,800,000(RM 1000 per sq. ft.)	5	5	4	Bungalow | Intermediate 	 Built-up : 4,800 sq. ft. 	 Partly furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 770,000(RM 879 per sq. ft.)	2	2	2	Condominium 	 Built-up : 876 sq. ft. 	 Partly furnished
The Breezeway, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,360,000(RM 1052.63 per sq. ft.)	2	2	2	Condominium 	 Built-up : 1,292 sq. ft. 	 Fully furnished
The Westside Two, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,050,000(RM 755.94 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,389 sq. ft. 	 Partly furnished
Bukit Damansara, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 8,000,000(RM 1333.33 per sq. ft.)	5	5	4	Bungalow | Intermediate 	 Built-up : 6,000 sq. ft. 	 Partly furnished
Taman Tun Dr Ismail	Taman Tun Dr Ismail, Kuala Lumpur	RM 2,800,000(RM 736.84 per sq. ft.)	5+1	3	2	2-sty Terrace/Link House | Corner lot 	 Built-up : 3,800 sq. ft. 	 Partly furnished
Taman Tun Dr Ismail , Taman Tun Dr Ismail	Taman Tun Dr Ismail, Kuala Lumpur	RM 1,080,000(RM 613.64 per sq. ft.)	3	2	1	1-sty Terrace/Link House | Intermediate 	 Built-up : 1,760 sq. ft. 	 Partly furnished
Burhanuddin Helmi, TTDI , Taman Tun Dr Ismail	Taman Tun Dr Ismail, Kuala Lumpur	RM 1,230,000(RM 723.53 per sq. ft.)	3	2	1	1-sty Terrace/Link House 	 Built-up : 1,700 sq. ft.	Unfurnished
Taman Tun Dr Ismail	Taman Tun Dr Ismail, Kuala Lumpur	RM 5,150,000(RM 1144.44 per sq. ft.)	5	4	2	Bungalow 	 Built-up : 4,500 sq. ft. 	 Partly furnished
TTDI , Taman Tun Dr Ismail	Taman Tun Dr Ismail, Kuala Lumpur	RM 1,800,000(RM 620.69 per sq. ft.)	3	2	None	2-sty Terrace/Link House 	 Built-up : 2,900 sq. ft.	Unfurnished
TTDI , Taman Tun Dr Ismail	Taman Tun Dr Ismail, Kuala Lumpur	RM 1,950,000(RM 975 per sq. ft.)	4	2	1	1-sty Terrace/Link House | Corner lot 	 Built-up : 2,000 sq. ft.	Unfurnished
Zenia, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,780,000(RM 814.77 per sq. ft.)	4+1	5	None	3-sty Terrace/Link House 	 Built-up : 3,412 sq. ft. 	 Partly furnished
Glomac Damansara, Taman Tun Dr Ismail	Taman Tun Dr Ismail, Kuala Lumpur	RM 799,999(RM 792.08 per sq. ft.)	3	3	2	Serviced Residence | Corner lot 	 Built-up : 1,010 sq. ft.	Unfurnished
TTDI,Taman Tun Dr Ismail, Kuala Lumpur, Taman Tun Dr Ismail	Taman Tun Dr Ismail, Kuala Lumpur	RM 4,000,000(RM 888.89 per sq. ft.)	5+1	4	None	Bungalow 	 Built-up : 4,500 sq. ft. 	 Partly furnished
The Northshore Gardens, Desa Parkcity, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,450,000(RM 976.43 per sq. ft.)	2+1	3	2	Condominium | Intermediate 	 Built-up : 1,485 sq. ft. 	 Fully furnished
OUG Parklane, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 360,000(RM 378.95 per sq. ft.)	3	2	2	Serviced Residence | Intermediate 	 Built-up : 950 sq. ft. 	 Partly furnished
The Northshore Gardens, Desa Parkcity, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 850,000(RM 940.27 per sq. ft.)	1+1	1	2	Condominium | Intermediate 	 Built-up : 904 sq. ft. 	 Fully furnished
The Northshore Gardens, Desa Parkcity, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,180,000(RM 888.35 per sq. ft.)	4+1	5	3	Condominium | Corner lot 	 Built-up : 2,454 sq. ft. 	 Fully furnished
Damansara Heights,Bukit Damansara,Jalan Setiabakti, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 4,700,000(RM 856.1 per sq. ft.)	6	5	5	Bungalow 	 Built-up : 5,490 sq. ft. 	 Partly furnished
Casaman Desa ParkCity, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 4,100,000(RM 1330.3 per sq. ft.)	3+1	5	2	2-sty Terrace/Link House 	 Built-up : 3,082 sq. ft.	Unfurnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 900,000(RM 701.48 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,283 sq. ft.	Unfurnished
MEADOW LAKE FIELDS LAKEFIELDS KL DALE, Sungai Besi	Sungai Besi, Kuala Lumpur	RM 1,250,000(RM 497.61 per sq. ft.)	5	4	3	3-sty Terrace/Link House | Intermediate 	 Built-up : 2,512 sq. ft. 	 Partly furnished
Avantas Residences, Jalan Klang Lama, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 752,000(RM 602.08 per sq. ft.)	3	2	2	Serviced Residence | Corner lot 	 Built-up : 1,249 sq. ft. 	 Partly furnished
The Breezeway, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,000,000(RM 1106.19 per sq. ft.)	3+1	3	2	Condominium 	 Built-up : 1,808 sq. ft. 	 Partly furnished
The Troika, KLCC	KLCC, Kuala Lumpur	RM 6,000,000(RM 1024.24 per sq. ft.)	4+1	5	3	Condominium | Corner lot 	 Built-up : 5,858 sq. ft. 	 Partly furnished
The Avare, KL City Centre, KLCC	KLCC, Kuala Lumpur	RM 2,600,000(RM 684.21 per sq. ft.)	4+1	6	3	Condominium | Corner lot 	 Built-up : 3,800 sq. ft. 	 Partly furnished
20 Trees West, Taman Melawati	Taman Melawati, Kuala Lumpur	RM 2,750,000(RM 426.69 per sq. ft.)	5	7	4	Bungalow 	 Built-up : 6,445 sq. ft. 	 Partly furnished
The Park Sky Residence, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 880,000(RM 829.41 per sq. ft.)	3	2	2	Serviced Residence 	 Built-up : 1,061 sq. ft.	Unfurnished
The Breezeway, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,450,000(RM 1077.27 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,346 sq. ft. 	 Fully furnished
Ascenda Residence @ Skyarena, Setapak	Setapak, Kuala Lumpur	RM 480,000(RM 436.36 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,100 sq. ft. 	 Partly furnished
Ascenda Residence @ Skyarena, Setapak	Setapak, Kuala Lumpur	RM 428,000(RM 471.37 per sq. ft.)	3	2	2	Condominium 	 Built-up : 908 sq. ft. 	 Unfurnished
The Breezeway, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,550,000(RM 1151.56 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,346 sq. ft. 	 Fully furnished
Endah Promenade, Taman Sri Endah, Sri Petaling	Sri Petaling, Kuala Lumpur	RM 490,000(RM 377.79 per sq. ft.)	3	3	2	Serviced Residence | Intermediate 	 Built-up : 1,297 sq. ft. 	 Partly furnished
The Park 2, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 1,400,000(RM 891.72 per sq. ft.)	3+1	4	3	Serviced Residence | Corner lot 	 Built-up : 1,570 sq. ft. 	 Partly furnished
Sunway Palazzio, Sri Hartamas	Sri Hartamas, Kuala Lumpur	RM 4,400,000(RM 935.37 per sq. ft.)	4+2	6	4	Condominium | Corner lot 	 Built-up : 4,704 sq. ft. 	 Partly furnished
The Avare, KL City Centre, KLCC	KLCC, Kuala Lumpur	RM 3,500,000(RM 921.05 per sq. ft.)	4+1	5	3	Condominium 	 Built-up : 3,800 sq. ft.	Unfurnished
Concerto North Kiara, Dutamas	Dutamas, Kuala Lumpur	RM 1,399,998(RM 694.79 per sq. ft.)	3+1	4	4	Condominium | Corner lot 	 Built-up : 2,015 sq. ft. 	 Fully furnished
Sri Putramas, Jalan Kuching	Jalan Kuching, Kuala Lumpur	RM 370,000(RM 336.36 per sq. ft.)	3	2	1	Condominium | Intermediate 	 Built-up : 1,100 sq. ft. 	 Partly furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 960,000(RM 959.04 per sq. ft.)	2	2	2	Condominium 	 Built-up : 1,001 sq. ft. 	 Partly furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,280,000(RM 832.79 per sq. ft.)	3+1	3	3	Condominium 	 Built-up : 1,537 sq. ft. 	 Partly furnished
Dua Residency, KLCC	KLCC, Kuala Lumpur	RM 2,900,000(RM 828.57 per sq. ft.)	4+1	4	2	Condominium | Duplex 	 Built-up : 3,500 sq. ft. 	 Fully furnished
Imperial Lexis, KLCC	KLCC, Kuala Lumpur	RM 1,696,900(RM 2659.72 per sq. ft.)	1	1	1	Serviced Residence 	 Built-up : 638 sq. ft.	Unfurnished
Duta Nusantara Sri Hartamas Mont Kiara, Sri Hartamas	Sri Hartamas, Kuala Lumpur	RM 4,500,000(RM 1125 per sq. ft.)	5+1	5	4	Semi-detached House | Intermediate 	 Built-up : 4,000 sq. ft. 	 Partly furnished
The Haute Gurney, Keramat	Keramat, Kuala Lumpur	RM 598,000(RM 571.7 per sq. ft.)	3	2	2	Condominium | Intermediate 	 Built-up : 1,046 sq. ft. 	 Partly furnished
EkoCheras, Cheras	Cheras, Kuala Lumpur	RM 850,000(RM 640.06 per sq. ft.)	3	3	2	Serviced Residence 	 Built-up : 1,328 sq. ft.	Unfurnished
Kiara Hills, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 8,800,000(RM 1173.33 per sq. ft.)	5+3	6	None	Bungalow 	 Built-up : 7,500 sq. ft.	Unfurnished
Waldorf Tower, Sri Hartamas	Sri Hartamas, Kuala Lumpur	RM 2,180,000(RM 605.56 per sq. ft.)	5+1	4	2	Serviced Residence | Penthouse 	 Built-up : 3,600 sq. ft.	Unfurnished
The Tropika, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 854,000(RM 647.95 per sq. ft.)	3	3	2	Serviced Residence | Corner lot 	 Built-up : 1,318 sq. ft.	Unfurnished
The Robertson, Bukit Bintang	Bukit Bintang, Kuala Lumpur	RM 970,000(RM 1501.55 per sq. ft.)	2	1	1	Condominium 	 Built-up : 646 sq. ft.	Unfurnished
Damansara Heights	Damansara Heights, Kuala Lumpur	RM 9,400,000(RM 940 per sq. ft.)	7+4	9	None	Bungalow 	 Built-up : 10,000 sq. ft. 	 Partly furnished
La Grande Kiara, Bukit Kiara, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 1,145,000(RM 579.45 per sq. ft.)	3+1	3	2	Condominium 	 Built-up : 1,976 sq. ft. 	 Fully furnished
Bukit Tunku (Kenny Hills)	Bukit Tunku (Kenny Hills), Kuala Lumpur	RM 45,000,000(RM 1706.55 per sq. ft.)	8+8	12	4	Bungalow 	 Built-up : 26,369 sq. ft.	Unfurnished
The Breezeway, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,400,000(RM 1083.59 per sq. ft.)	2	2	2	Condominium 	 Built-up : 1,292 sq. ft. 	 Partly furnished
Fortune Avenue, Taman Usahawan Kepong, Kepong	Kepong, Kuala Lumpur	RM 428,000(RM 376.43 per sq. ft.)	3	2	1	Serviced Residence | Intermediate 	 Built-up : 1,137 sq. ft. 	 Unfurnished
